"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ITA",2021,28263.216555394268918099,10221952.2905952468350431
"JAM",2021,1485.24723965635444213,800911.290535324718892
"JEY",2021,3.24072188023437527,1306.585635272469029
"JPN",2021,48455.130205260766804899,24341974.5091716933174105
"KAZ",2021,718.409062407001035485,255225.8172071617314752
"KEN",2021,7564.30353703218975592,3758592.099059524285453
"KGZ",2021,17.535345973652343620,2650.7911026414703039
"KHM",2021,144262.64338879263067761,86233906.363691683548903
"KNA",2021,9.41626906362521701,4726.860605926827160
"KOR",2021,17342.127881665773432004,6056834.432906288326586
"LAO",2021,317562.59400856870668506,167574983.838802995701907
"LBN",2021,672.61767208680735238,154280.2569881584876365
"LBR",2021,129838.01097076554412188,80606320.911839634660933
"LBY",2021,0.5196089612489150,126.83275201543763
"LCA",2021,34.60395206810438042,20427.06665076557955
"LIE",2021,0.63227056083984381,359.21862160114247
"LKA",2021,13296.08742554542051432,5358619.623222034989541
"LSO",2021,16.91761747763889124,6702.660098000709203
"LTU",2021,22633.628914351056699683,8935933.346883421696302
"LUX",2021,1054.629058322798961505,686832.784222360518412
"LVA",2021,48422.148732552770344439,18356211.004669293915018
"MAF",2021,2.1235823210525175,918.34642222158826
"MAR",2021,1538.46211751804148853,626315.0433664791507878
"MDA",2021,1130.887987131410906546,412840.7385328997782613
"MDG",2021,234879.82064764939588497,121091730.032298360430685
"MEX",2021,189046.40207507336282895,85418725.2595560503916185
"MKD",2021,2304.283069036994028527,825312.1696322128736231
"MLI",2021,130.30924230515131696,166941.005699377658352
"MMR",2021,304151.45531416746860844,174593722.042741052994009
"MNE",2021,507.75941362552736520,268175.913750228724222
"MNG",2021,186.689692578834554885,41914.7740452484920867
"MOZ",2021,278084.37292224020041733,107718211.7892097943324445
"MRT",2021,0.0,2006.294234228617972
"MSR",2021,2.50734279155164958,1337.524559713494336
"MTQ",2021,43.55235253291613368,21616.887226992097847
"MWI",2021,16582.62200617772964208,7023754.062337754079016
"MYS",2021,277597.31450350826509479,134722963.068219096872657
"MYT",2021,63.72506181654565823,33068.573940594355596
"NAM",2021,5.03323263665907133,3368.440229267204408
"NCL",2021,656.28992337712046930,258562.767675373858613
"NER",2021,0.0,69.545314882399015
"NGA",2021,97193.20236319170578693,65091478.516156311497050
